    CPU_1(%)   CPU_2(%)  CPU_3(%) CPU_4(%)
	 35.0 		 7.0		28.7		4.0
	 33.7 		 8.8		28.7		4.9
	 34.7 		 6.9		26.7		4.0
	 34.0 		 7.0		25.0		4.0
	 34.7 		 7.0		28.3		4.0
	 35.0 		 9.0		31.0		5.9
	 67.6 		 20.8		57.0		13.0
	 30.0 		 6.9		28.7		4.0
	 40.0 		 10.9		35.4		8.0
	 33.7 		 6.0		29.7		5.0
	 42.0 		 10.1		33.0		7.0
	 74.3 		 13.7		58.0		11.0
	 66.0 		 14.0		56.0		12.0
	 43.1 		 13.0		37.0		9.0
	 34.7 		 7.0		29.7		5.9
	 40.0 		 11.0		35.0		8.0
	 40.0 		 7.9		32.3		5.9
	 35.0 		 7.0		29.7		5.0
	 36.0 		 9.0		27.7		4.0
	 33.7 		 7.9		26.0		5.0
	 32.4 		 6.0		26.0		3.0
	 49.5 		 13.0		41.6		8.9
	 45.5 		 14.9		40.6		10.9
	 36.0 		 8.0		30.7		5.9
	 36.6 		 7.0		29.7		4.0
	 41.6 		 11.0		37.6		7.1
	 29.7 		 7.9		28.0		5.0
	 36.0 		 9.9		31.0		4.0
	 25.7 		 6.0		23.8		4.0
	 39.4 		 11.9		34.0		7.0
	 34.7 		 10.0		32.0		7.0
	 39.0 		 10.9		35.0		7.0
	 45.5 		 13.9		38.0		9.0
	 37.6 		 9.8		30.7		7.0
	 32.7 		 8.8		28.7		3.0
	 34.0 		 7.9		30.0		5.0
	 54.5 		 25.7		49.0		20.0
	 31.7 		 8.0		27.7		5.9
	 32.0 		 7.9		27.0		5.0
	 100.0 		 54.5		100.0		49.5
	 41.0 		 11.0		37.0		7.0
	 35.0 		 8.9		29.7		4.0
	 50.5 		 15.2		46.5		12.9
	 33.7 		 6.0		28.0		5.0
	 36.0 		 7.0		28.0		5.0
	 35.4 		 8.0		29.7		5.9
	 36.0 		 8.9		31.0		5.9
	 33.0 		 7.9		28.7		4.0
